"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "V9" "V10"
"115" NA NA NA 1 NA NA NA 1 2 4
"116" NA NA 1 NA NA NA NA 2 1 3
"117" NA NA 1 NA NA NA NA 2 2 1
"118" NA NA 1 NA NA NA NA 1 2 2
"119" NA NA NA NA 1 NA NA 1 2 3
"120" NA NA 1 NA NA NA NA 1 1 3
"121" NA NA NA NA NA 1 NA 2 1 4
"122" NA NA 1 NA NA NA NA 2 1 4
"123" NA NA 1 NA NA NA NA 2 2 2
"124" NA 1 NA NA NA NA NA 2 1 3
"125" NA NA 1 NA NA NA NA 2 2 4
"126" 1 NA NA NA NA NA NA 1 1 3
"127" NA NA NA NA NA NA 1 2 1 4
"128" 1 NA NA NA NA NA NA 1 3 3
"129" NA NA 1 NA NA NA NA 1 3 4
"130" NA NA 1 NA NA NA NA 1 2 2
"131" NA 1 NA NA NA NA NA 2 2 4
"132" NA NA 1 NA NA NA NA 2 2 3
"133" NA NA 1 NA NA NA NA 1 1 4
"134" NA NA NA NA NA 1 NA 1 2 1
"135" NA NA 1 NA NA NA NA 1 2 3
"136" NA NA 1 NA NA NA NA 2 3 2
"137" NA NA NA NA NA NA 1 2 1 3
"138" NA NA NA NA NA NA 1 2 1 3
"139" NA NA 1 NA NA NA NA 1 1 4
"140" NA NA 1 NA NA NA NA 2 1 4
"141" NA NA 1 NA NA NA 1 2 2 2
"142" 1 NA NA NA NA NA NA 1 1 2
"143" NA NA 1 NA NA NA NA 2 1 3
"144" 1 NA NA NA NA NA NA 1 2 3
"145" NA NA 1 NA NA NA NA 1 3 3
"146" 1 NA NA NA NA NA NA 1 1 2
"147" NA NA 1 NA NA NA NA 1 4 4
"148" 1 NA NA NA NA NA NA 1 2 4
"149" NA NA NA NA 1 NA NA 2 NA 1
"150" NA NA 1 NA NA NA NA 2 3 4
"151" NA NA 1 NA NA NA NA 1 1 4
"152" 1 NA 1 NA NA NA NA 1 2 3
"153" NA NA 1 NA NA NA NA 1 2 3
"154" 1 NA NA NA NA NA NA 1 1 3
"155" NA NA 1 NA NA NA NA 2 2 3
"156" NA 1 NA NA NA NA NA 2 3 2
"157" NA NA 1 NA NA NA NA 1 2 3
"158" NA NA 1 NA NA NA NA 1 NA 5
"159" 1 NA 1 NA NA NA NA 1 4 2
"160" NA NA NA 1 NA NA NA 2 6 5
"161" 1 NA NA NA NA NA NA 1 1 3
"162" NA NA 1 NA NA NA NA 1 2 2
"163" NA NA 1 NA NA NA NA 2 2 2
"164" 1 NA NA NA NA NA NA 1 1 3
"165" NA NA 1 NA NA NA NA 1 2 3
"166" NA NA 1 NA NA NA NA 1 2 2
"167" NA 1 1 NA NA NA NA 2 2 3
"168" NA NA 1 NA NA NA NA 2 1 3
"169" NA 1 NA NA NA NA NA 2 2 3
"170" NA NA 1 NA NA NA NA 2 3 4
"171" NA NA 1 NA NA NA NA 2 3 2
"172" NA NA 1 NA NA NA NA 2 3 3
"173" NA NA NA 1 NA NA NA 2 2 2
"174" NA 1 NA NA NA NA NA 2 1 2
"175" NA 1 NA NA NA NA NA 2 1 2
"176" 1 NA NA NA NA NA NA 1 1 2
"177" NA NA 1 NA NA NA NA 2 1 4
"178" NA NA 1 NA NA NA NA 2 3 4
"179" NA NA 1 NA NA NA NA 2 6 2
"180" NA NA 1 NA NA NA NA 2 1 2
"181" NA NA NA NA NA NA 1 2 2 2
"182" NA 1 NA NA NA NA NA 2 1 4
"183" NA NA 1 NA NA NA NA 1 1 4
"184" 1 NA NA NA NA NA NA 1 1 4
"185" NA NA NA 1 NA NA NA 2 3 3
"186" NA NA 1 NA NA NA NA 2 2 2
"187" NA NA NA 1 NA NA NA 2 2 2
"188" NA NA 1 NA NA NA NA 2 NA 2
"189" 1 NA NA NA NA NA NA 1 2 3
"190" 1 NA NA NA NA NA NA 1 NA 4
"191" NA NA 1 NA NA NA NA 1 2 1
"192" NA NA 1 NA NA NA NA 2 1 5
"193" NA NA 1 NA NA NA NA 2 1 5
"194" NA NA 1 NA NA NA NA 2 2 3
"195" 1 NA NA NA NA NA NA 1 1 2
"196" NA 1 NA NA NA NA NA 2 2 3
"197" NA NA 1 NA NA NA NA 2 1 3
"198" NA NA NA NA NA 1 NA 2 6 3
"199" 1 NA NA NA NA NA NA 1 2 3
"200" 1 NA NA NA NA NA NA 1 2 2
"201" NA NA 1 1 NA NA NA 1 2 2
"202" NA NA NA NA NA 1 NA 1 1 4
"203" NA NA 1 NA NA NA NA 2 2 4
"204" 1 NA NA NA NA NA NA 1 1 3
"205" 1 NA NA NA NA NA NA 1 2 3
"206" NA NA 1 NA NA NA NA 1 1 2
"207" NA 1 NA NA NA NA NA 2 2 3
"208" NA NA 1 NA NA NA NA 2 NA 4
"209" NA NA 1 NA NA NA NA 2 1 3
"210" NA NA 1 NA NA NA NA 2 2 2
"211" NA NA NA 1 NA NA NA 1 NA 5
"212" NA NA 1 NA NA NA NA 1 2 3
"213" NA NA 1 NA NA NA NA 1 1 3
"214" NA NA 1 NA NA NA NA 2 2 3
"215" NA NA 1 NA NA NA NA 2 2 2
"216" NA NA 1 NA NA NA NA 2 1 4
"217" 1 NA NA NA NA NA NA 1 1 3
"218" NA NA 1 NA NA NA NA 2 1 4
"219" 1 NA NA NA NA NA NA 1 1 3
"220" 1 NA NA NA NA NA NA 1 1 3
"221" 1 NA NA NA NA NA NA 1 2 2
"222" NA NA 1 NA NA NA NA 1 1 4
"223" 1 NA NA NA NA NA NA 1 1 3
"224" 1 NA NA NA NA NA NA 1 NA 2
"225" NA 1 NA NA NA NA NA 2 1 1
"226" NA 1 NA NA NA NA NA 2 2 3
"227" NA NA NA NA NA 1 NA 2 2 2
"228" NA NA 1 NA NA NA NA 2 2 3
"229" NA NA 1 NA NA NA NA 2 1 4
"230" 1 NA NA NA NA NA NA 1 1 3
"231" NA 1 NA NA NA NA NA 2 1 4
"232" NA NA NA NA NA 1 NA 2 2 3
"233" 1 NA NA NA NA NA NA 1 3 2
"234" NA NA 1 NA NA NA NA 2 1 2
"235" 1 NA NA NA NA NA NA 1 1 3
"236" 1 NA NA NA NA NA NA 1 6 2
"237" 1 NA NA NA NA NA NA 1 2 2
"238" 1 NA NA NA NA NA NA 1 1 1
"239" NA NA 1 NA NA NA NA 1 2 2
"240" 1 NA NA NA NA NA NA 1 2 2
"241" NA NA NA NA 1 NA NA 2 1 4
"242" NA NA 1 NA NA NA NA 1 2 3
"243" NA NA 1 NA NA NA NA 2 1 2
"244" 1 NA NA NA NA NA NA 1 2 2
"245" NA NA NA 1 NA NA NA 1 3 3
"246" NA NA 1 NA NA NA NA 2 2 2
"247" 1 NA NA NA NA NA NA 1 2 1
"248" NA NA 1 NA NA NA NA 2 1 2
"249" NA NA 1 NA NA NA NA 2 2 4
"250" NA NA 1 NA NA NA NA 2 1 4
"251" NA NA 1 NA NA NA NA 2 1 2
"252" NA NA 1 NA NA NA NA 1 6 3
"253" 1 NA NA NA NA NA NA 1 1 4
"254" NA NA 1 NA NA NA NA 2 1 3
"255" NA NA 1 NA NA NA NA 2 1 4
"256" NA NA 1 NA NA NA NA 1 1 4
"257" NA 1 NA NA NA NA NA 2 2 3
"258" NA NA 1 NA NA NA NA 1 1 1
"259" NA 1 NA NA NA NA NA 2 3 4
"260" NA NA 1 NA NA NA NA 2 3 2
"261" NA NA 1 NA NA NA NA 2 1 3
"262" NA 1 NA NA NA NA NA 2 3 2
"263" NA NA 1 NA NA NA NA 1 2 1
"264" 1 NA NA NA NA NA NA 1 2 2
"265" NA 1 NA NA NA NA NA 2 1 1
"266" NA NA 1 NA NA NA NA 2 3 3
"267" 1 NA NA NA NA NA NA 1 1 3
"268" NA NA 1 NA NA NA NA 1 2 3
"269" 1 NA NA NA NA NA NA 1 1 2
"270" NA NA 1 NA NA NA NA 2 NA 5
"271" NA NA 1 NA NA NA NA 1 3 4
"272" 1 NA NA NA NA NA NA 1 3 4
"273" 1 NA NA NA NA NA NA 1 2 3
"274" NA NA 1 NA NA NA NA 2 1 2
"275" 1 NA NA NA NA NA NA 1 6 1
"276" 1 NA NA NA NA NA NA 1 2 4
"277" NA NA 1 NA NA NA NA 2 1 2
"278" 1 NA NA NA NA NA NA 1 1 2
"279" 1 NA NA NA NA NA NA 1 1 1
"280" 1 NA NA NA NA NA NA 1 1 4
"281" NA 1 NA NA NA NA NA 2 1 3
"282" NA NA 1 NA NA NA NA 2 2 3
"283" NA 1 NA NA NA NA NA 2 2 2
"284" NA NA NA 1 NA NA NA 2 6 2
"285" NA NA 1 NA NA NA NA 1 6 2
"286" 1 NA NA NA NA NA NA 1 2 3
"287" NA 1 NA NA NA NA NA 2 1 2
"288" NA NA 1 NA NA NA NA 2 1 2
"289" NA NA 1 NA NA NA NA 1 3 1
"290" NA NA 1 NA NA NA NA 1 4 3
"291" NA NA 1 NA NA NA NA 1 2 2
"292" NA NA 1 NA NA NA NA 1 4 2
"293" NA NA 1 NA NA NA NA 2 2 3
"294" 1 NA NA NA NA NA NA 1 2 2
"295" 1 NA NA NA NA NA NA 1 2 2
"296" 1 NA NA NA NA NA NA 1 2 2
"297" 1 NA NA NA NA NA NA 1 1 1
"298" NA NA 1 NA NA NA NA 2 4 3
"299" 1 NA NA NA NA NA NA 1 1 2
"300" NA NA 1 NA NA NA NA 2 2 3
"301" NA NA NA 1 NA NA NA 2 3 2
"302" NA NA 1 NA NA NA NA 2 6 1
"303" NA NA 1 1 NA NA NA 2 1 3
"304" NA NA 1 NA NA NA NA 2 6 2
"305" NA NA 1 NA NA NA NA 2 1 3
"306" NA NA 1 NA NA NA NA 1 NA 5
"307" 1 NA NA NA NA NA NA 1 3 4
"308" NA NA 1 NA NA NA NA 2 1 2
"309" NA NA 1 NA NA NA NA 1 3 2
"310" NA NA 1 NA NA NA NA 1 NA 5
"311" 1 NA NA NA NA NA NA 1 3 1
"312" NA 1 NA NA NA NA NA 2 2 3
"313" NA NA 1 NA NA NA NA 1 2 3
"314" 1 NA NA NA NA NA NA 1 2 1
"315" NA NA 1 NA NA NA NA 1 1 3
"316" NA NA 1 NA NA NA NA 1 2 2
"317" 1 NA NA NA NA NA NA 1 2 2
"318" NA NA NA NA NA NA 1 2 3 4
"319" NA 1 NA NA NA NA NA 2 3 1
"320" 1 NA NA NA NA NA NA 1 1 3
"321" 1 NA NA NA NA NA NA 1 1 2
"322" 1 NA NA NA NA NA NA 1 2 3
"323" NA NA 1 NA NA NA NA 2 1 3
"324" 1 NA NA NA NA NA NA 1 4 3
"325" NA NA 1 NA NA NA NA 1 1 4
"326" NA NA 1 NA NA NA NA 1 2 4
"327" NA NA 1 NA NA NA NA 1 2 3
"328" 1 NA NA NA NA NA NA 1 1 2
"329" NA NA 1 NA NA NA NA 2 NA 2
"330" 1 NA NA NA NA NA NA 1 2 3
"331" NA 1 NA NA NA NA NA 2 2 3
"332" 1 NA NA NA NA NA NA 1 2 2
"333" 1 NA NA NA NA NA NA 1 1 3
"334" NA NA 1 NA NA NA NA 2 1 3
"335" 1 NA NA NA NA NA NA 1 2 3
"336" 1 NA 1 NA NA NA NA 1 2 4
"337" 1 NA 1 NA NA NA NA 1 2 2
"338" NA NA 1 NA NA NA NA 1 3 2
"339" 1 NA NA NA NA NA NA 1 3 3
"340" 1 NA NA NA NA NA NA 1 3 3
"341" 1 NA NA NA NA NA NA 1 3 3
"342" NA 1 NA NA NA NA NA 2 2 1
"343" NA NA 1 1 NA NA NA 2 2 2
"344" NA 1 NA NA NA NA NA 2 3 3
"345" NA NA 1 NA NA NA NA 2 2 4
"346" NA NA NA 1 NA NA NA 2 1 4
"347" NA NA 1 NA NA NA NA 1 1 2
"348" 1 NA NA NA NA NA NA 1 1 2
"349" 1 NA NA NA NA NA NA 1 2 3
"350" 1 NA NA NA NA NA NA 1 1 3
"351" NA NA 1 NA NA NA NA 2 2 2
"352" 1 NA NA NA NA NA NA 1 4 4
"353" NA NA 1 1 NA NA NA 1 2 2
"354" NA NA 1 NA NA NA NA 2 2 3
"355" 1 NA NA NA NA NA NA 1 1 3
"356" 1 NA NA NA NA NA NA 1 1 1
"357" 1 NA NA NA NA NA NA 1 2 2
"358" NA NA 1 NA NA NA NA 2 1 4
"359" 1 NA NA NA NA NA NA 1 1 3
"360" NA NA 1 NA NA NA NA 2 6 5
"361" 1 NA NA NA NA NA NA 1 2 2
"362" 1 NA NA NA NA NA NA 1 2 2
"363" 1 NA NA NA NA NA NA 1 1 2
"364" 1 NA NA NA NA NA NA 1 2 1
"365" NA 1 NA NA NA NA NA 2 2 4
"366" NA NA NA NA 1 NA NA 2 3 3
"367" NA NA 1 NA NA NA NA 1 6 4
"368" NA 1 NA NA NA NA NA 2 2 3
"369" NA 1 NA NA NA NA NA 2 2 2
"370" NA NA 1 NA NA NA NA 1 3 2
"371" 1 NA NA NA NA NA NA 1 1 4
"372" NA NA 1 NA NA NA NA 2 1 3
"373" NA NA 1 NA NA NA NA 1 2 2
"374" NA 1 NA NA NA NA NA 2 1 3
"375" 1 NA NA NA NA NA NA 1 1 2
"376" NA NA 1 NA NA NA NA 1 3 3
"377" 1 NA NA NA NA NA NA 1 1 4
"378" 1 NA NA NA NA NA NA 1 1 3
"379" NA NA 1 NA NA NA NA 2 2 3
"380" NA NA 1 NA NA NA NA 1 2 3
"381" NA NA 1 NA NA NA NA 2 NA 4
"382" NA NA 1 NA NA NA NA 1 3 2
"383" 1 NA NA NA NA NA NA 1 1 4
"384" 1 NA NA NA NA NA NA 1 1 3
"385" 1 NA NA NA NA NA NA 1 1 1
"386" NA NA 1 NA NA NA NA 2 NA 1
"387" NA NA NA 1 NA NA NA 2 NA 5
"388" 1 NA NA NA NA NA NA 1 1 2
"389" NA NA 1 NA NA NA NA 2 3 2
"390" 1 NA NA NA NA NA NA 1 1 2
"391" NA NA 1 NA NA NA NA 1 3 3
"392" NA NA 1 NA NA NA NA 1 NA 2
"393" 1 NA NA NA NA NA NA 1 1 1
"394" NA 1 NA NA NA NA NA 2 3 4
"395" NA NA 1 NA NA NA NA 1 2 3
"396" NA 1 NA NA NA NA NA 2 1 3
"397" 1 NA NA NA NA NA NA 1 2 3
"398" NA NA 1 NA NA NA NA 2 1 2
"399" NA NA 1 NA NA NA NA 2 2 3
"400" 1 NA NA NA NA NA NA 1 6 4
"401" 1 NA NA NA NA NA NA 1 2 2
"402" 1 NA NA NA NA NA NA 1 1 4
"403" 1 NA NA NA NA NA NA 1 3 2
"404" 1 NA NA NA NA NA NA 1 1 4
"405" NA NA 1 NA NA NA NA 2 3 4
"406" 1 NA NA NA NA NA NA 1 2 2
"407" NA NA 1 NA NA NA NA 2 1 4
"408" NA NA 1 NA NA NA NA 1 2 3
"409" NA NA 1 NA NA NA NA 2 NA 2
"410" 1 NA NA NA NA NA NA 1 2 4
"411" NA NA 1 NA NA NA NA 1 3 3
"412" NA NA NA NA NA NA 1 2 1 3
"413" NA NA 1 NA NA NA NA 1 6 4
"414" NA NA 1 NA NA NA NA 2 6 5
"415" 1 NA NA NA NA NA NA 1 1 4
"416" NA NA 1 NA NA NA NA 2 2 4
"417" NA NA 1 NA NA NA NA 1 3 4
"418" NA NA 1 NA NA NA NA 1 2 2
"419" 1 NA NA NA NA NA NA 1 2 3
"420" NA NA NA 1 NA NA NA 2 2 3
"421" NA NA NA 1 NA NA NA 1 1 1
"422" 1 NA NA NA NA NA NA 1 1 4
"423" 1 NA NA NA NA NA NA 1 1 2
"424" NA NA 1 NA NA NA NA 1 2 3
"425" NA NA 1 NA NA NA NA 2 2 2
"426" NA NA 1 NA NA NA NA 1 3 2
"427" 1 NA 1 NA NA NA NA 1 3 2
"428" NA 1 NA NA NA NA NA 2 3 1
"429" NA 1 NA NA NA NA NA 2 3 4
"430" NA NA NA 1 NA NA NA 2 6 3
"431" 1 NA NA NA NA NA NA 1 2 1
"432" 1 NA NA NA NA NA NA 1 1 3
"433" NA NA 1 NA NA NA NA 1 6 2
"434" NA NA 1 NA NA NA NA 2 6 4
"435" NA NA 1 NA NA NA NA 2 2 3
"436" NA NA 1 NA NA NA NA 2 2 4
"437" NA NA 1 NA NA NA NA 2 2 1
"438" NA NA 1 NA NA NA NA 2 2 4
"439" NA NA NA NA 1 NA NA 1 1 4
"440" NA NA 1 NA NA NA NA 1 1 3
"441" 1 NA NA NA NA NA NA 1 3 3
"442" NA NA NA NA NA NA 1 1 NA 5
"443" 1 NA NA NA NA NA NA 1 1 2
"444" 1 NA NA NA NA NA NA 1 3 2
"445" NA NA 1 NA NA NA NA 1 2 1
"446" NA NA 1 NA NA NA NA 2 2 4
"447" 1 NA NA NA NA NA NA 1 2 2
"448" 1 NA NA NA NA NA NA 1 2 2
"449" 1 NA NA NA NA NA NA 1 1 3
"450" 1 NA NA NA NA NA NA 1 1 4
"451" NA NA 1 NA NA NA NA 1 6 1
"452" NA 1 NA NA NA NA NA 2 1 3
"453" 1 NA NA NA NA NA NA 1 1 4
"454" NA NA 1 NA NA NA NA 2 3 4
"455" NA NA 1 NA NA NA NA 1 3 2
"456" 1 NA NA NA NA NA NA 1 2 3
"457" NA NA 1 NA NA NA NA 2 NA 4
"458" 1 NA NA NA NA NA NA 1 2 2
"459" 1 NA 1 NA NA NA NA 1 4 1
"460" 1 NA NA NA NA NA NA 1 1 2
"461" 1 NA NA NA NA NA NA 1 2 2
"462" NA NA 1 NA NA NA NA 1 2 4
"463" NA NA 1 NA NA NA NA 2 NA 4
"464" 1 NA NA NA NA NA NA 1 2 3
"465" 1 NA NA NA NA NA NA 1 1 3
"466" 1 NA NA NA NA NA NA 1 3 3
"467" 1 NA NA NA NA NA NA 1 3 2
"468" NA NA 1 NA NA NA NA 1 3 4
"469" NA NA 1 NA NA NA NA 2 2 3
"470" NA NA 1 NA NA NA NA 2 2 2
"471" NA 1 NA NA NA NA NA 2 2 3
"472" NA NA 1 NA NA NA NA 2 1 4
"473" NA NA 1 NA NA NA NA 1 3 2
"474" NA NA 1 NA NA NA NA 2 3 3
"475" 1 NA NA NA NA NA NA 1 2 1
"476" 1 NA NA NA NA NA NA 1 1 2
"477" NA NA 1 NA NA NA NA 1 3 2
"478" 1 NA NA NA NA NA NA 1 2 2
"479" NA NA NA 1 NA NA NA 2 3 2
"480" NA NA 1 NA NA NA NA 1 3 4
"481" 1 NA NA NA NA NA NA 1 1 4
"482" NA NA 1 NA NA NA NA 2 2 2
"483" NA NA 1 NA NA NA NA 2 3 2
"484" NA NA 1 NA NA NA NA 2 2 2
"485" NA NA NA NA NA NA 1 2 3 4
"486" NA NA 1 NA NA NA NA 1 3 3
"487" NA NA 1 NA NA NA NA 2 6 2
"488" NA 1 NA NA NA NA NA 2 2 2
"489" 1 NA NA NA NA NA NA 1 2 4
"490" 1 NA NA NA NA NA NA 1 2 2
"491" NA 1 1 NA NA NA NA 2 3 3
"492" NA NA 1 NA NA NA NA 1 3 3
"493" 1 NA NA NA NA NA NA 1 2 3
"494" NA NA 1 NA NA NA NA 2 2 4
"495" NA NA 1 NA NA NA NA 2 1 4
"496" 1 NA NA NA NA NA NA 1 3 4
"497" 1 NA NA NA NA NA NA 1 2 2
"498" 1 NA NA NA NA NA NA 1 3 1
"499" 1 NA NA NA NA NA NA 1 2 2
"500" NA NA 1 NA NA NA NA 2 1 3
"501" 1 NA NA NA NA NA NA 1 1 3
"502" 1 NA NA NA NA NA NA 1 3 3
"503" 1 NA NA NA NA NA NA 1 1 2
"504" 1 NA 1 NA NA NA NA 1 3 2
"505" 1 NA NA NA NA NA NA 1 1 4
"506" 1 NA NA NA NA NA NA 1 3 2
"507" 1 NA 1 NA NA NA NA 1 2 3
"508" 1 NA NA NA NA NA NA 1 1 4
"509" 1 NA NA NA NA NA NA 1 1 3
"510" 1 NA NA NA NA NA NA 1 3 4
"511" NA NA 1 NA NA NA NA 1 3 4
"512" NA NA 1 NA NA NA NA 1 4 2
"513" NA 1 NA NA NA NA NA 2 1 3
"514" NA 1 NA NA NA NA NA 2 1 3
"515" 1 NA NA NA NA NA NA 1 4 3
"516" 1 NA NA NA NA NA NA 1 2 2
"517" NA NA 1 NA NA NA NA 2 6 4
"518" NA NA 1 NA NA NA NA 1 2 4
"519" NA NA 1 NA NA NA NA 2 3 3
"520" NA NA NA NA 1 NA NA 1 2 2
"521" 1 NA NA NA NA NA NA 1 2 4
"522" NA NA 1 NA NA NA NA 1 1 4
"523" NA NA NA NA NA 1 NA 2 6 1
"524" NA NA 1 NA NA NA NA 2 3 4
"525" NA NA 1 NA NA NA NA 1 2 3
"526" 1 NA NA NA NA NA NA 1 2 2
"527" NA NA 1 NA NA NA NA 1 6 4
"528" NA NA 1 NA NA NA NA 1 NA 5
"529" NA NA 1 NA NA NA NA 1 2 4
"530" NA NA 1 NA NA NA NA 1 NA 4
"531" NA NA 1 NA NA NA NA 1 1 4
"532" NA NA 1 NA NA NA NA 2 1 4
"533" 1 NA NA NA NA NA NA 1 1 3
"534" 1 NA NA NA NA NA NA 1 2 3
"535" 1 NA NA NA NA NA NA 1 2 2
"536" NA NA 1 NA NA NA NA 2 NA 4
"537" NA NA 1 NA NA NA NA 1 3 4
"538" 1 NA NA NA NA NA NA 1 1 4
"539" 1 NA NA NA NA NA NA 1 2 4
"540" 1 NA NA NA NA NA NA 1 1 4
"541" NA NA NA 1 NA NA NA 2 NA 5
"542" NA NA 1 NA NA NA NA 2 1 3
"543" 1 NA NA NA NA NA NA 1 2 3
"544" NA NA 1 NA NA NA NA 2 3 2
"545" 1 NA NA NA NA NA NA 1 3 3
"546" 1 NA NA NA NA NA NA 1 2 3
"547" NA NA 1 NA NA NA NA 2 NA 4
"548" NA NA 1 NA NA NA NA 1 2 4
"549" NA NA 1 NA NA NA NA 1 2 3
"550" NA NA 1 NA NA NA NA 1 3 2
"551" 1 NA NA NA NA NA NA 1 1 3
"552" 1 NA NA NA NA NA NA 1 2 4
"553" NA 1 NA NA NA NA NA 2 1 2
"554" NA NA 1 NA NA NA NA 2 NA 4
