P31_1	P31_2	P31_3
Progress	Improvable	Fickle
Different	Human	Free
I do not know	I do not know	I do not know
Freedom	Empathy	Confidence
PRIDE	COLORS	Chueca
Diverse	Complex	Atomized
Open	improvable	pride
inclusive	abundant	hard
Double face	cliche	
Bad	Bit	Any
Left	Radicals	Any
Friends	Party	Freedom
Open	Available	Good
Open	Acolhimento	Struggle
Improvable	Regular	I dont know
Confidence	Support	Equality
Tolerance	Respect	Freedom
I dont know	 	
Fun	Diversity	Empathy
Cozy	Semi -liberty	Fellowship
Opportunity	Opening	Freedom
Pride	Diversity	Support
Tolerance	Homophobia	
Environment	Open	Opportunity
Friendly	Free	Comfortable
Friendly	Engaged	Respectful
Tolerance	Friendly	Freedom of expression
Freedom	Normal	
Liberal	Tolerant	Friendly
Comprehension	EMPTATS	Equality
Tolerance	Change	Diversity
Friendly	Tolerant	Respect
Equality	Comprehension	Love
Good	Something	Sometimes
Strange	Weird	Prone
Incomprehension	Rejection	Contempt
Support	Comprehension	Modern
support	comprehension	modern
Empathic	Friendly	
Pleasant	Promoted	Fair
Good	Empathic	
Free	Determined	Feminist
Pride	Opening	Discovery
Open	Core	Tourism
Chueca	Open	Fuss
natural	respectful	affectionate
Facade	Underestimate	Archaic
Friendly	Open	Fearful
Gayfriendly	Tolerant	
Diverse	Integrator	Respectful
Open	Integrator	Free
Keep it up	Bit	Tolerable
Cozy	Diverse	
Violence	Intolerance	
free	equality	respect
Open	Tolerant	
not	I know	
Reliable	Brave	Apollo
Nearby	Sincere	Friend
Diversity	Reception	Enjoyment
Lie	Propaganda	Rejection
Cozy	 	
Chueca	Transsexual	Queer
Chueca	Pride	Cynicism
Abundant	Wide	Tolerant
Open	Equality	Respect
Friendly	 	
Chueca	Freedom	Diversity
Friendly	Reception	Options
Well	Friendly	Traitor
Freedom	Tolerance	Respect
Open	Tolerant	Free
FREEDOM	MARRIAGE	Chueca
Engaged	Friendly	Nearby
Pride	Party	Tolerance
False	 	
Respect	 	
Inclusion/acceptance	Freedom	Fellowship
Safe	Open	Protective
LGBTIQ+ pride	Freedom	LGBTIQ+ associations
Open	Integrator	United
Identity	Drugs	Postureo
Pride	Tolerant	Defending
Intolerance	Rejection	Incomprehension
Lgtv united	 	
Open	Strong	Understandable
Triangle	 	
Chueca	Drack Queen	Cocktail bar
Friendly	 	
Freedom	diversity	security
Chueca	Pride	Party
open	free	Friendly
Friendly	You have to do more	respect
Marches	 	
Open	Diverse	Inclusive
Group increase	More intolerance	Vox ruins Madrid
Free	Modern	
Open	Sincere	Loyal
Happy	United	Fighters
Open	Tolerant	Inclusive
Tolerance	Friendship	Faith
Comfort	friendly	
Chueca	Pride	Environment
Tolerant	Pride	Chueca
Opening of mind	Respect	Freedom
Friendly	Open	Acceptable
Tolerance	Freedom	
brilliant	family	nearby
Pride	Open	Chueca
Postureo	Tourism	Leisure
Friendly	Tolerant	
Pride	Tolerance	Open
Tolerant	Plural	
Pride	Chueca	
I do not know	 	
Acceptance	 	
Freedom	Love	That
Tolerance	Naturalness	Freedom
Respect	Comprehension	Friendship
COGAM	 	
open	varied	
limited freedom	APPARANT	LOSS OF RIGHTS
Chueca	Pride	Open
Gaypitalism	Chueca	Gaypitalism
Freedom	Happiness	Tranquillity
Look	Fighters	Shame
Freedom	Sex	Love
freedom	fellowship	empathy
Cold	Distance	Indifferent
Pride	Respect	Tolerance
Freedom	Environment	Thank you
Colors	Parties	Pride
Diversity	Open	Respect
Receiver	 	
Opened	New	Understood
friendly	impasient	disoriented
Equality	Regard	Acceptance
Open	Normal	
Insuffeent	 	
Pride	pubs	Party
Pride	Chueca	Diversity
Tolerant	Open	
Diversity	Empathy	Collective
Tolerance	Freedom	Happiness
Understands	ACCEPTA	Support
Open	Liberal	Free
Attention	Acceptance	Modesty
friendly	tolerant	nearby
Open	Friendly	Sociable
Fear	Respect	Tranquillity
Freedom	Can	Left
Cosmopolitan	 	
Capital	Open	False
Dangerous	Indifferent	Congratulations
Chueca	pride	Jorgejavierv
Pride	Freedom	Lifetime
Open	Free	Safe
Pride	Chueca	Freedom
Chueca	Pride	Transphobia
Opening each time	 	
respect	sincerity	tolerance
Open	Friendly	Tolerant
-	 	
Friendly	 	
Crew	Equal	Friendship
Opened	Tolerant	Respectful
Open	Diverse	Tolerant
Open	Inclusive	
Modern	 	
open	safe	
Tolerant	Beginner	Cozy
Tolerant	Festive	Friendly
Empathy	Ignored	Fear
Threats in discot	Treated differently at work	Chueca
Freedom	 	
open	integrated	plural
Tolerance	Equality	Anonymity
Mercantilization	Heteronormative	Tourism
Chueca	 	
Pride	Chueca	Bubble
Pride	Tolerance	Opened
CAPITAL	Open	Opportunity
negative	infuriating	Malicious
Acceptable	Diverse	Comprehensive
Tolerant	 	
Innovative	 	
freedom	equality	comprehension
Movement	Visibility	Actions
tolerant	 	
Open	Soludaria	Generous
diversity	 	
Pride	 	
Polifaceted	Tolerant	Endeavored
Open	Fun	Multicultural
Tolerant	 	
Pride	Chueca	
Open	 	
Honor	 	
Tolerant	Inclusion	Opportunity
Freedom	Friendship	Love
Naturalness	Open	Diverse
Tolerant	Example to follow	Open
Unequal	 	
Paradise	Tolerance	Referrer
Indifference	Opportunities	Mercantilization
Friendly	open	
Freedom	Change	Worrying future
Diversity	Tolerant	Liberta
Gay pride	Chueca	
Pride	 	
Freedom	Responsibility	Cheer up
Tolerant	Open	
Quite tolerant	friendly	Safe
Pride	Like at home	Open
Increasing	Tileranci	
Friendly	Friendly	Inclusive
hope	acceptance	freedom
Open	Cozy	
Chueca	Gay pride	
Open	Easy	Safe
Chueca	Parties	Tolerant
Chueca	Lavapies	Malasala
Friendly	Receptive	Fun
PRIDE	PARTY	TOLERANCE
Opening	Tolerance	Friendship
Diversity	Opportunity	Crew
Open	Multicultural	Amplitude
Open	Friendly	Going forward
cozy	open	transparent
Regular	Growing	Regulr
GOOD	TOLERANT	FRIENDLY
Free	 	
Open	Transparent	Human
Open	Friendly	Comprehensive
Friendly	Open	Equality
Freedom	Equality	Regard
Acceptable	It is understood	A little of everything
Freedom	Reception	Respect
Freedom	Tolerance	Respect
Sure	Lifetime	Love
Chueca	Watch out	Theme Park
Pinkwashing	Rejection	
Freedom	Pride	Partner
Guetto	 	
Open	Tolerant	Equality
Tolerance	 	
opening	discrimination	
Freedom	Normal	Indifference
Open	Diverse	Inclusive
FREE	Respectful	Diverse
Inclusion	I agree	Free
Open	Responsible	Help
Friendly	Understanding	Modern
Half	 	
Friendly	Tolerant	Free
friendly	cozy	liberal
Open	Plural	Pioneer
Paradox	Zones	Indefinition
Free	free	free
Pride	Tolerance	Diversity
Tolerant	 	
Friendly	Tolerant	Caution
Of care	Cheerful	Party
Diversity	Pride	Fun
Opened	Pride	Freedom
Commitment	Responsibility	Assume
Pride	Chueca	Open
Equidistant	Educated	Indifference
Tradition	Deterioration	Powerful
Cozy	 	
Indifference	 	
Chueca	GMadrid Sports	COGAM
Good	Little sure	Big
free	open	RSPETO
Dont know	 	
Friendly	visibility	variety
Freedom	Respect	Coexistence
Tolerant	Modern	
Welcomes	You accept	Wide
freedom	opinion	security
aware	cozy	wide
Receptive	Curious	Uninformed
Chuec	Intolerance	Vice
Pride	Respect	Lifetime
Back	Homophobia	Pathetic
anonymity	Chueca	
Open	Extriveted	Friendly
Friendly	Hate	Struggle
friendly	Inclusive	deal
plus	tolerance	diversity
Modern	Cosmopolitan	Universal
Friendly	Satisfactory	Affectionate
Gayfriendly	Open	Tolerant
cuts	Discrimination	Disparagement
Freedom	Tolerance	Respect
Tolerance	Diversity	Free
Open	Tolerant	Free
Different	Varied	Inclusion attempt
Equality	Tolerance	Peace
Backward	Casposa	Hypocrite
Freedom	Amplitude	Struggle
Sociability	Freedom	
Free	Open	Tolerant
immaturity	lack of empathy	discrimination
Shelter	Reception	Community
I dont know	I dont know	I dont know
Friendly	 	
Tolerant	Friend	Open
Friend	International	Free
Tolerant	Open	Acceptable
Propaganda	Hypocrisy	Conservative
tolerance	respect	cozy
open	Modern	tolerant
Ancient	bland	Dark
Variety	Tolerance	Speech
Freedom	Equality	Respect
open	 	
open	 	
integrator	collective	mediator
Open	Friendly	Cosmopolitan
equality	orientation	sociability
Collective	Organized	Subsidies
pride	tolerance	fascism
Opened	Tolerant	Friendly
Tolerant	Conformist	Permissive
Freedom	Respect	Equality
Freedom	Comprehension	Amiability
Any	Any	Any
open	plural	Modern
Diversity	Debate	Leadership
affective	open	friendly
Chueca	anonymity	
False	Delayed	Semiliber
Open	Tolerant	Permissive
COGAM	Pedro Zerolo	GMadrid Sports
Party	Pride	Gay
cool	opened	diaspora
reception	freedom	support
Intolerance	Disgust	Repudiation
Freedom	Tolerance	Own space
PUBS	Chemsex	Musculocas
Deal	Relative acceptance	Chueca
gayfriendly	open	tolerant
Friendly	Communication	Support
Freedom	Awareness	
Friendly	Integration	Community
tolerant	open	advanced
Anonymity	Opportunities	
Freedom	Normal	
Chueca	 	
Cozy	Open	Modern
Open for everyone	A little facade	
open	friendly	boom
Open	Modern	Tolerant
Friendly	Open	Tolerant
Great	Friendly	Nearby
cozy	diverse	
Homophobia	Fascism	Ignorance
Hostile	Exploited	
Chueca	Pride	
free	 	
Respect	Freedom	
Free	Comprehensive	Fascist
wide	cozy	starting
Homophobic	Racist	Outdated
Tolerance	Regard	Free
Tolerant	Inclusive	friend
opportunity	integration	respect
Open	 	
Semitolante	 	
Open	Festive	Friendly
Opened	Respect	Family
Acceptable	Friendly	Multipurial
Ignorance	Selfishness	
Free	 	
Tolerant	 	
Cozy	Tolerant	Safe
Open	 	
Leisure	Banality	Discrimination
Open	Tolerant	Respect
Rancia	Conventional	Ancient
tolerant	liberal	positive
Tolerance	Acceptance	Freedom
Tolerance	Freedom	Integration
Egalitarian	Open	Cozy
Confusing	Ignorant	False
Liberal	Friendly	Free
freedom	toecap	party
Phobia	Rights	Homophobia
Cozy	Tolerant	Open
FREEDOM	VARIETY	MARCH
Tolerance	Support	Equality
Open	Free	Diverse
Indifferent	 	
HARD	Not familiar	More affable
Permissive	Acceptance	Rejection
Friendly	Chueca	Pride
Pride	Open	ultra -right
Uncontrol	Friendly	Friendly
Chueca	Getting better	tolerance
not	it is	Solidarity
pride	Chueca	tolerance
cozy	 	
permissive	open	engaged
Freedom	 	
freedom	 	
Friendly	Hospital	Safe
Open	Free	Perfect
Tolerance	visibility	freedom
freedom	tolerant	permissible
Tolerant	Comprehensive	Cozy
Discrimination	Absence	Aid
LACK OF INFORMATION	With scrupulos	INTOLERANT
tolerant	hypocrite	elitist
People pass	INDIFFERENCE	TOLERANCE
Adjustable	 	
Neutral	Calm	Pleasant
Tolerance	 	
tolerant	They all fit	equality
Respectable	Strong	Right extrem
friendly	 	
No support	You do not help	Youm anything
Tolerant	Friendly	Indifferent
Homophobia	repressed	fagot
leisure	incognito	
Tolerant	Friend	
Respect	protection	indifference
freedom	 	
Open	Tolerant	quiet
Accessible	Open	Wide
Free	Open	Cheerful
Good	Understandable	Sincere
Open	Friendly	Fun
Tolerant	Normal	Freedom
Friendly	Respectful	Sincere
Compromise	Respectful	Friendly
friendly	fun	tolerant
Apolla	sure	Not only
Very tolerant	 	
acceptable	tolerant	
I dont know	I dont know	I dont know
free	next	nol save to itself
well	everything	that
Modern	Successful	great
Tolerant	Comprehensive	Freedom
