Ident	P1	P1_r	P2_2	P3a1	P3a2	P3a3	P3a4	P3a5	P3a6	P3a7	P3a8	P4	P5	P6	P7a1	P7a2	P7a3	P7a4	P7a5	P7a6	P7a7	P7a8	P7a9	P7a10	P8	P9_1a1	P9_1a2	P9_1a3	P9_1a4	P9_1a5	P9_1a6	P9_1a7	P9_1a8	P9_1a9	P9_1a10	P9_1a11	P9_1a12	P9_2a1	P9_2a2	P9_2a3	P9_2a4	P9_2a5	P9_2a6	P9_2a7	P9_2a8	P9_2a9	P9_2a10	P9_2a11	P9_2a12	P10	control	P11	P12a1	P12a2	P12a3	P12a4	P12a5	P12a6	P12a7	P12a8	P12a9	P13	P14	P15	P16	P17	P18	P19	P20a1	P20a2	P20a3	P20a4	P20a5	P20a6	P20a7	P20a8	P20a9	P20a10	P20a11	P20a12	P21_1	P21_2	P21_3	P21_4	P21_5	P21_6	P21_7	P21_8	P21_9	P22_1	P22_2	P22_3	P23	P24a1	P24a2	P24a3	P24a4	P24a5	P24a6	P24a7	P24a8	P24a9	P24a10	P24a11	P24a12	P24a13	P24a14	P24a15	P25a1	P25a2	P25a3	P25a4	P25a5	P25a6	P25a7	P26_1	P26_2	P26_3	P27	P28	P29	P30	P31_1	P31_2	P31_3	P32	P33	P34	P34_DG	P35	P36	P35_DG	Nivel_socioeconomico	P37
1620670941	19	2	12			1						2	4	4											5		1											1												1	3	2	1							1		1	5	2		1	2	2	1	1	1			1							2	3	2	3	2	4	3	3	2	1	2	2	3	1	1		1					1										1	1			4	4	3	3	3	3	2	Conservative	Intolerant		4	2	4	5	1	2	2	2	5
1619907601	20	2	2						1			2	3	4											5		1												1											2	3	2	1			1	1					2	6	2		3	2	3	1	1	1				1			1			2	3	3	3	2	3	3	2	3	2	2	2																				1	1			2	2	2	3	2	3	2	Chaotic	 		3	3	4	5	5		5	5	3
1620076887	20	2	3			1						2	2	4											8	1												1												1	3	3					1					1	6	2		3	4	2		1	1			1							1	2	2	4	3	1	2	2	2	2	2	2																							1	3	6	2	3	2	1	2	World Pride	Chueca		4	2	3	4	5		5	5	2
1620114477	20	2	6			1						2	5	5											5	1												1												1	3	4									1	2	7	2		1	1	2			1										2	2	1	4	2	1	2	1	2	2	2	2																							1	2	2	1	3	2	2	2	Open	tolerant		3	2	7	8	5		5	1	3
1620133448	20	2	18			1						2	4	4											5	1												1												2	3	3				1	1		1	1		2	3	2		2	2	2		1	1			1	1				1		2	3	1	3	3	3	3	2	1	2	2	2																				1	1			4	4	3	3	2	3	2	relatively	peaceful		4	2	4	5	5		5	1	99
1620141123	20	2	12							1		2	9	10				1																																	3	4	1									1	8	2		2	2	2												1	2	4	2	4	2	3	3	3	3	2	2	2																							1	5	5	5	1	2	2	2	Friendly	 		4	2	6	7	5		5	3	99
1620144357	20	2	2			1						2	5	5											5		1												1											1	3	4									1	1	9	1	1		1	3	1	1	1	1		1	1		1	1			3	4	2	4	3	3	3	4	3	2	2	2																							1	5	4	4	5	2	2	2	Theater	Freedom		1	7	8	8	1	2	2	2	7
1620145175	20	2	15			1						2	3	4											5			1												1			1							1	3	4				1	1					5	5	2		1	2	3			1		1						1		2	4	5	4	3	3	3	4	5	2	2	2																		1						6	4	4	5	2	2	2	Friendly	Positive discrimination	Party	4	8	4	5	7		8	1	99
1620199186	20	2	21	1								1	3	4											5					1									1											1	3	2	1	1		1	1	1				1	8	2		1	2	3	1		1	1		1	1						3	4	3	4	5	4	3	3	3	2	1	2	3											1					1				1			2	3	2	3	2	2	2	friendly	free		4	2	7	8	5		5	2	7
1620199307	20	2	12			1						1	5	4											5		1												1											1	3	4									1	1	10	2		2	1	2	1						1						4	4	4	4	4	4	4	4	4	2	2	2																							1	5	5	4	2	2	1	1	Lesbian	Gay	Transsexual	2	4	8	8	1	1	1	2	8
1620202896	20	2	14			1						1	5	5											6							1								1										3	3	4	1	1		1	1	1				1	8	1	1		1	3	1	1	1										2	3	3	2	2	3	2	2	3	2	1	2	3			1		1	1				1						1		1	1				4	4	3	3	2	1	2	Open	Progressive	Conciliatory	3	5	4	5	5		5	6	5
1620207621	20	2	2			1						1	4	4											5		1												1											1	3	3				1						1	9	2		1	2	3	1	1	1		1	1	1			1			3	3	3	3	3	3	3	3	3	2	2	2																							1	3	4	4	2	1	2	2	Freedom	 		3	2	8	8	5		5	1	99
1620212030	20	2	2			1						1	4	4											10		1																	1						1	3	3				1	1					1	8	2		1	1	3	1	1	1	1		1	1						2	4	4	3	3	3	3	2	2	2	2	2																						1		5	5	4	5	2	1	1	Acceptable	Acceptable	Acceptable	3	3	4	5	1	2	2	3	5
1620214230	20	2	14			1						1	4	5											1		1															1								2	3	3	1							1		1	8	2		2	2	3	1		1										2	3	3	3	2	3	2	2	2	1	1	1	1																1							4	5	4	2	2	2	2	Homophobia	Accepted	Spanish	4	2	3	4	1	2	2	6	2
1620215682	20	2	18			1						1	4	4											5			1										1												1	3	4									1	1	7	2		1	1	3	1	1	1										1	3	2	4	5	5	3	5	2	2	2	2																							1	2	2	2	5	2	2	2	Do not	it	HE	4	2	4	5	5		5	4	4
1620500826	20	2	2			1		1				2	3	4											7		1													1										1	3	3	1				1		1	1		1	9	2		1	1	3	1		1										2	2	4	4	2	2	1	1	2	2	1	2	3				1					1				1						1	1			3	3	3	3	2	1	2	Learning	Ignorant	Diverse	4	1	7	8	1	2	2	5	2
1620551702	20	2	1			1						2	5	5											5	1												1												2	3	3				1						3	7	2		1	1	3			1			1							2	5	2	3	5	5	5	5	3	2	2	2																				1	1	1		3	6	4	3	2	2	2	opening	worked		4	2	4	5	5		5	1	8
1620569233	20	2	5			1						2	3	3											5			1																1						2	3	3	1						1			1	7	2		2	4	2	1	1	1										2	3	2	2	2	3	2	5	2	2	2	2																						1		3	3	2	3	2	2	2	Tolerant appearance	But there is still	A lot of homophobia	3	2	4	5	5		5	6	4
1620572722	20	2	15			1						2	5	4											5	1												1												1	3	4			1	1						1	7	2		3	2	3			1										3	4	2	4	5	4	4	3	4	2	2	2																					1			4	6	6	2	1	2	2	Positive	Even	Opened	4	2	4	5	5		5	3	8
1620669911	20	2	6			1						2	3	4											6											1										1				2	3	4	1			1						2	7	2		1	2	3	1	1	1			1							2	2	2	3	2	4	3	2	2	2	1	2	3		1		1																1			4	4	4	3	3	1	2	pride	variety	friendly	3	1	8	8	5		5	6	8
1620673067	20	2	12			1						2	4	3											5	1												1												1	3	3	1									1	5	2		2	1	2		1	1			1	1						1	2	2	3	1	2	2	1	1	2	2	2																	1	1		1				2	1	1	4	2	3	2	interest	advertising	sightseeing	3	2	4	5	5		5	3	99
1620673418	20	2	9			1						2	3	4											5	1												1												2	3	4							1			3	5	1	1		1	2		1	1										2	4	3	4	3	3	3	3	3	2	1	1	2				1	1	1										1	1		1	1	1		2	2	2	3	3	1	2	disgusting	bad	insufficient	3	5	4	5	1	2	2	1	8
1620673473	20	2	9			1						2	4	4											5	1												1												2	3	4	1									2	7	2		1	1	3						1							3	3	3	3	3	3	3	3	3	2	2	2																						1		4	4	4	2	1	2	2	free	 		3	2	4	5	5		5	1	99
1620674998	20	2	18			1						2	5	5											5		1												1											1	3	3									1	1	10	2		1	2	1	1		1			1	1						2	3	4	4	4	4	3	4	3	2	2	2																							1	4	4	4	3	2	1	2	Inclusion	Acceptance		4	2	4	5	5		5	6	4
1620675584	20	2	1			1						2	5	10			1		1	1		1																													3	2				1						5	5	2		1	4	3		1	1										2	3	2	3	2	1	2	4	2	2	2	2																					1			1	1	1	3	2	3	2	Open	 		3	2	7	8	5		5	5	2
1619897569	21	2	4			1						2	4	10									1																												3	4					1					1	6	2		1	3	2	1		1				1						3	3	2	3	5	4	2	5	3	2	2	2																							1	5	4	4	5	2	3	2	Pride	Expression	Representativeness	4	2	4	5	5		5	2	5
1620088722	21	2	4			1		1				1	3	5											5								1															1		2	3	3	1	1	1		1		1			3	7	2		3	3	2			1										1	2	1	4	2	2	3	1	2	1	1	2	3				1			1	1	1		1								1	1			1	1	1	3	3	1	1	Exploited	Rejection	Forgotten	4	2	6	7	5		5	2	6
1620150433	21	2	11			1						2	5	5											5			1												1										1	3	4									1	1	9	2		1	1	3			1										3	4	2	4	3	4	3	3	3	2	2	2																							1	2	3	2	3	3	2	2	Diversity	Love	Hate	4	2	8	8	5		5	1	8
1620199797	21	2	12			1						1	4	5											5	1												1												2	3	1	1									2	10	2		1	1	3		1	1							1			1	4	1	4	2	4	3	4	3	2	2	2																				1				3	2	3	4	2	2	2	Tolerant	 		4	2	7	8	1	2	2	2	9
1620199799	21	2	3			1						2	3	3											3	1												1												1	3	3				1						1	7	2		2	2	3			1				1						1	3	2	3	2	1	2	2	1	2	2	2																							1	2	1	1	3	2	2	2	Modern	 		4	2	4	5	5		5	6	3
1620210134	21	2	12			1						2	4	4											1		1														1									3	3	3									1	1	7	2		1	2	3	1	1	1			1				1			2	4	3	4	3	4	4	4	3	2	2	2																							1	5	5	5	2	1	2	2	Freedom	Comfort	Authenticity	4	2	5	6	1	2	2	4	6
1620218586	21	2	12			1						2	4	5											7		1												1											2	3	2				1	1					5	5	2		1	2	2	1		1				1						1	3	2	3	2	2	2	1	1	2	2	2																							1	4	3	3	3	3	3	2	Intolerance	Ignorance		4	2	8	8	1	2	2	1	9
1620227742	21	2	17			1						2	4	5											5	1												1												1	3	2					1					1	7	2		1	1	3			1				1						2	3	5	4	5	3	5	3	5	1	2	2	3											1					1							4	4	4	5	1	2	2	Open	 		4	2	4	5	5		5	2	5
1620482550	21	2	13			1						1	1	10		1					1																														3	4									1	3	7	1	1		1	4											1		3	5	2	3	2	4	2	2	3	2	2	2																							1	3	4	4	3	3	2	2	Tolerant	Modern	Selfish	4	3	6	7	3	2	3	4	4
1620550901	21	2	16			1						2	4	4											5	1												1												1	3	4									1	1	7	2		1	1	3		1	1										2	4	2	3	3	4	3	3	3	2	2	2																					1			5	3	2	2	1	2	2	pride	freedom	friendly	3	2	4	5	5		5	2	5
1620568447	21	2	16			1						2	3	4											5		1															1								2	3	2				1	1		1	1		1	7	2		1	3	3	1	1	1	1		1	1						1	4	3	4	2	2	2	2	1	1	1	1	3		1		1				1								1	1			1	1		2	2	2	3	2	1	1	Social acceptance	Tolerance	Inclusion	3	4	4	5	5		5	6	2
1620622742	21	2	20	1								1	3	3											5	1												1												2	3	3									1	2	9	2		3	3	4		1											1	3	3	3	2	4	3	4	2	2	2	2																							1	5	4	6	2	2	2	2	friendly	respect	modesty	3	1	4	5	5		5	6	3
1620661023	21	2	10	1								1	4	4											1		1															1								2	3	3							1			2	9	2		1	1	3	1												2	2	1	3	2	3	2	3	2	1	1	1	2				1												1							2	3	2	3	3	2	1	male chauvinist	 		3	2	7	8	1	2	2	1	8
1620667083	21	2	7		1							2	3	3											5		1													1										2	3	3	1									1	8	2		1	2	3			1										2	4	3	4	5	4	4	3	4	2	1	2	3		1		1																		1	4	4	3	3	1	3	2	Open	 		4	2	6	7	5		5	2	5
1620670893	21	2	12			1						2	4	4											3		1			1									1			1								2	3	2					1					1	9	2		1	3	2	1	1	1			1							3	3	2	3	3	3	2	2	2	1	1	2	3										1						1	1				1		4	4	4	3	2	3	2	tolerant	Support	Diversity	3	2	4	5	1	2	2	4	6
1620091812	22	2	11			1						2	4	4											5	1												1												1	3	4									1	1	8	2		1	1	3		1	1		1	1	1						2	5	3	3	5	3	3	2	2	2	2	2																						1		2	2	2	4	2	3	2	Free	Open	Lie	4	2	4	5	5		5	6	4
1620093787	22	2	15			1						2	5	5											5				1												1									1	3	4					1					1	7	2		3	1	2	1	1	1	1	1	1	1	1					2	3	4	3	3	4	3	2	3	1	2	2	3											1	1										1	4	3	4	3	2	3	2	Chueca	Pride		4	3	8	8	4		4	1	3
1620116333	22	2	11	1								1	4	5											11			1												1										1	3	2	1	1		1	1		1	1		2	5	2		3	2	3	1	1	1		1	1	1			1			2	3	2	3	3	3	3	3	3	2	2	2																	1							4	3	3	3	2	3	2	Open	Diverse	Company	3	4	4	5	1	2	2	2	1
1620127310	22	2	18			1						2	2	3											5			1																1						2	3	4									1	1	7	2		2	2	3			1										1	3	1	4	2	3	2	2	2	1	2	2	3											1											1	2	1	1	3	2	3	2	Cooperative	Hypocrite	Fun	3	2	4	5	5		5	5	2
1620127432	22	2	6			1						2	5	5											5	1												1												3	3	4									1	2	8	2		3	2	3		1	1		1	1		1	1				3	4	3	4	4	4	4	4	4	2	2	1	3	1	1	1	1				1						1								1	5	5	5	3	2	3	2	Chueca	 		3	2	6	7	1	2	2	2	99
1620144658	22	2	4			1						2	4	4											5		1											1												1	3	4					1					1	9	2		1	1	3	1	1	1	1		1	1			1			1	3	3	4	5	5	2	2	2	2	2	2																		1		1	1			4	3	4	4	2	1	2	Opened	Free	To choose	3	2	3	4	3	2	3	4	3
1620149641	22	2	2			1						1	2	5											5					1								1												1	3	2	1	1		1	1	1	1	1		1	7	2		1	1	2		1	1	1		1					1		1	3	2	3	5	3	2	5	1	2	2	2																	1				1			4	4	3	3	2	3	2	Open	Friendly	Safe	4	3	4	5	5		5	5	99
1620151279	22	2	21			1						2	5	5											5		1															1								1	3	2				1						1	7	2		3	2	2	1	1	1				1			1			2	5	4	4	4	3	3	5	2	2	2	2																							1	4	4	4	3	2	3	2	COGAM	 		4	3	8	8	5		5	4	6
1620199158	22	2	2	1								1	4	4											5							1							1											1	3	2		1								1	8	2		3	2	2	1	1	1				1						3	4	3	4	4	4	4	3	4	1	1	2	3	1															1	1		1		1		1	2	2	3	2	2	2	LGTBI FRIENDLY	 		3	4	6	7	1	2	2	3	3
1620199213	22	2	6	1								1	5	4											5				1												1									1	3	3		1		1						2	8	2		1	2	2		1	1										3	2	4	2	4	4	4	4	2	2	2	2																		1						3	5	6	3	3	2	2	Appalling	Regular	Pasotas	3	2	4	5	5		5	6	4
1620200601	22	2	10			1						1	9	10				1																																	3	4									1	1	8	2		1	3	4												1	2	2	2	2	2	2	2	2	2	2	2	2																							1	5	4	4	3	1	3	2	Open	Something reluctant		9	2	6	7	5		5	2	99
1620202113	22	2	21			1						2	5	5											5		1											1												2	3	2		1	1	1						2	8	2		1	1	3		1	1			1	1						2	2	2	3	3	3	2	5	2	2	1	2	3	1			1	1							1				1							4	3	4	3	2	3	1	Party	Freedom	Empowerment	3	2	4	5	5		5	1	7
1620215865	22	2	9						1			1	5	5											3	1												1												3	3	3							1			2	8	2		1	2	3	1		1										3	2	4	3	3	5	3	2	2	2	2	2																							1	4	4	4	2	2	3	1	Very	Glad		3	4	9	8	5		5	6	6
1620218438	22	2	20			1						1	4	4											5		1												1											3	3	4									1	2	8	2		1	2	3		1	1							1			3	4	3	3	4	4	4	4	4	2	1	2	1																						1	5	4	5	2	1	2	2	Tolerant	Friendly	Inclusive	3	2	8	8	5		5	2	6
1620567531	22	2	2		1							2	3	4											5		1		1	1									1		1									1	3	3					1					1	7	2		1	1	2	1		1			1	1						5	3	3	4	5	3	2	1	1	2	2	2																							1	1	1	1	4	2	1	2	Diverse	Massive	Free	4	3	8	8	5		5	1	9
1620622838	22	2	21			1						2	4	4											5		1												1											2	3	2					1			1		2	8	1	2		1	2	1	1	1										2	3	4	4	3	4	3	2	2	1	2	2	1																	1		1				3	2	4	2	2	1	1	tolerant	distant		2	5	8	8	1	2	2	3	8
1620626726	22	2	6			1						1	4	10				1																																	3	2	1		1	1	1	1				3	3	2		1	3	3		1											1	3	2	2	3	3	3	3	3	2	2	2																	1			1	1			4	4	4	2	2	2	2	Chueca	 		4	2	4	5	5		5	2	4
1620672785	22	2	2			1						2	3	3											10	1												1												1	3	3				1	1					1	7	2		1	1	2		1	1			1	1						3	3	1	2	3	4	3	2	2	1	1	2	3	1	1		1					1								1	1			1		3	4	4	3	2	1	2	inclusion	respect	diversity	3	2	4	5	5		5	1	5
1620675474	22	2	20			1						2	4	4											1				1											1										1	3	4					1					2	8	2		2	3	3	1		1		1								2	3	3	4	3	3	2	3	2	2	2	2																	1					1		4	3	2	3	2	1	2	Opened	Friendly	Sociable	4	2	8	8	5		5	2	5
1619898165	23	2	13			1						2	3	3											10	1												1												3	3	4									1	2	7	1	1		1	3		1											2	5	3	3	3	5	2	5	2	2	2	2																	1			1	1			6	6	6	5	2	2	2	Respect	Tolerance		2	5	4	5	3	2	3	6	3
1620039830	23	2	21			1						2	5	5											5	1												1												1	3	3				1						2	8	2		3	3	3			1				1						1	3	2	3	3	2	2	2	2	2	2	2																							1	2	3	3	3	2	3	2	Open	Diversity	Free	4	3	8	8	5		5	2	4
1620088511	23	2	8	1								1	3	5											5	1												1												1	3	1	1	1	1	1	1	1	1	1		2	4	2		1	1	3			1										1	2	1	3	1	3	1	1	1	1	1	2	3	1	1	1					1								1	1			1			1	2	1	4	2	1	2	Tolerant	Open	Extremist	4	2	8	8	5		5	2	9
1620089000	23	2	2	1								1	3	4											7				1									1												1	3	4									1	1	8	2		1	1	2	1	1	1	1	1	1	1	1	1	1			3	4	5	4	4	4	4	4	3	2	2	2																							1	6	6	6	2	2	2	2	good	good	good	3	8	4	5	5		5	6	2
1620090392	23	2	5			1						2	4	4											5				1												1									1	3	4									1	1	7	2		2	2	3	1	1	1			1	1						2	4	2	4	3	4	3	3	3	2	2	2																				1				5	5	5	5	1	2	2	Friendly	 		3	4	8	8	1	2	2	4	7
1620091984	23	2	20	1								1	3	4											5	1												1												1	3	4		1			1					1	9	2		1	2	3		1	1										3	4	2	3	5	4	4	3	3	2	1	2	3										1												1	5	4	4	5	1	2	2	Freedom	Opened	Future	4	2	4	5	5		5	3	5
1620092251	23	2	14			1						2	5	5											5	1												1												1	3	4									1	1	10	2		1	1	3		1	1				1						4	4	2	4	4	4	4	4	4	2	2	2																				1	1			5	5	5	1	1	2	2	Tolerant	Free	Open	3	2	8	8	1	2	2	2	8
1620103852	23	2	13			1						2	4	5											5	1												1												1	3	4									1	2	6	2		2	1	3		1	1										2	2	2	3	2	2	3	2	2	2	2	2																				1				3	3	3	3	3	3	2	Indifference	Lack of resources	Absence of education	3	2	8	8	1	2	2	3	7
1620128661	23	2	20			1						2	5	5											6		1																						1	3	3	4									1	1	6	2		1	2	3	1	1	1			1	1						5	2	2	3	2	3	2	2	2	2	2	2																							1	2	3	2	3	3	3	2	Chueca	 		3	4	9	8	4		4	7	1
1620130446	23	2	14							1		2	4	5											10							1						1												3	3	3				1		1	1			3	3	2		3	1	2							1						1	3	2	2	1	2	3	1	1	2	2	2																				1				4	3	4	4	2	2	2	Open	Sociable	Friendly	4	2	6	7	5		5	3	99
1620135854	23	2	18			1						2	9	5											3	1												1												6	3	3									1	5	0	2		3	1	4												1	3	5	3	3	2	2	3	1	1	2	2	2																							1	1	1	1	5	2	2	2	Uncertainty	 		4	2	4	5	5		5	2	7
1620141798	23	2	16			1						2	5	5											12			1												1										3	3	3									1	2	10	2		2	1	3	1	1	1										4	4	4	4	4	4	4	4	4	2	2	2																							1	5	5	5	1	1	2	2	Respect	Reception	Struggle	4	2	4	5	5		5	2	7
1620144482	23	2	15		1							2	4	5											5					1									1											2	3	2	1	1			1			1		1	9	2		1	1	2		1	1		1		1						1	3	1	3	2	1	1	1	1	1	1	2	3				1					1				1			1	1	1	1	1	1		2	2	1	4	3	1	2	Hypocrite	False security	Open	3	2	4	5	5		5	2	9
1620152586	23	2	13	1								1	4	4											5			1		1	1		1	1		1	1	1												1	3	3	1				1					1	10	2		1	1	3	1	1	1		1		1						2	3	3	2	1	3	3	3	2	1	1	2	3	1			1							1	1					1			1	1		4	3	3	3	1	2	2	Protective	Defending	Effective	3	4	6	7	4		4	2	99
1620159042	23	2	12					1				2	5	10										1																											3	4									1	2	10	2		1	1	1		1	1							1			2	2	2	2	1	2	2	2	2	2	2	2																							1	4	4	4	3	2	1	2	free	friendly		4	2	3	4	1	2	2	2	5
1620210671	23	2	5			1						2	3	3											5		1					1							1											1	3	3		1			1					1	10	2		1	1	2		1	1										4	5	2	4	5	3	3	4	3	2	2	2																							1	5	4	3	2	1	2	2	Freedom	Equality	Respect	9	2	4	5	1	1	1	6	5
1620217849	23	2	5			1						1	4	4											6		1																			1				2	3	2	1									2	6	2		1	1	3	1	1	1							1			1	2	4	3	2	4	3	2	3	1	2	2	3										1												1	2	2	3	3	2	3	2	Chueca	Friendly	Party	3	3	8	8	1	1	1	1	5
1620521499	23	2	13			1						2	3	5											5	1																	1							3	3	1	1									2	6	2		2	3	3		1	1										5	5	5	3	2	3	3	3	2	1	1	2	2							1	1			1	1				1					1		3	4	4	2	2	3	2	Chueca	Freedom		3	3	4	5	5		5	4	3
1620550916	23	2	2			1						2	1	3											5				1														1							2	3	3									1	1	8	2		1	1	3		1	1			1	1						3	3	3	4	3	3	3	2	3	2	2	2																							1	5	5	5	5	1	1	2	Open	 		4	2	4	5	5		5	1	7
1620668359	23	2	7			1						2	9	9											1		1															1								2	3	3	1									2	10	2		1	1	2	1	1	1										2	2	2	4	3	2	2	5	3	1	1	2	2		1									1					1					1		4	3	3	2	2	1	1	love	comprehension	set	3	4	4	5	5		5	5	2
1620668701	23	2	2			1						2	4	5											1				1												1									3	3	3	1				1		1	1		2	7	1	2		2	2	1	1	1	1	1	1	1			1			1	2	3	3	2	2	3	3	2	1	1	2	3	1			1												1			1		1		2	2	3	2	2	2	1	Diversity	 		3	5	8	8	1	2	2	3	3
1619899315	24	2	15			1						2	5	5											5	1												1												1	3	3				1	1					2	7	2		1	1	3		1	1										2	3	2	3	5	3	3	2	3	2	2	2																	1			1	1			3	3	3	3	2	1	2	Pride	Freedom	Chueca	4	3	9	8	1	2	2	4	6
1619911947	24	2	20			1						2	5	5											3	1												1												3	3	2	1		1	1	1					2	8	2		1	2	3		1	1			1							2	4	1	3	2	4	3	1	2	2	2	2																							1	3	3	2	4	2	2	2	Open	Support	Education	3	2	5	6	5		5	2	99
1620039755	24	2	5			1						2	5	5											5	1												1												1	3	2				1						2	8	2		2	2	2			1		1	1	1						2	3	2	3	3	2	3	3	2	2	2	2																							1	1	1	2	3	2	3	2	Pride	Opened	Tolerant	4	2	8	8	5		5	1	7
1620040481	24	2	13							1		1	1	4											8							1			1									1		1				6	3	5						1				5	7	2		2	4	4		1											5	5	5	5	5	5	5	5	5	2	2	2																							1	6	6	6	5	5	3	2	equality	tolerance	respect	9	8	11	9	7		8	7	99
1620046045	24	2	2	1								1	5	5											5					1								1												1	3	2				1	1					2	8	2		3	3	2		1	1		1					1			1	3	3	4	3	4	3	3	3	2	2	2																	1				1			4	3	5	3	1	1	2	Open	Comfortable		4	1	8	8	1	2	2	4	4
1620092060	24	2	7							1		2	5	5											5	1												1												3	3	1	1	1	1	1	1	1	1	1		5	6	2		1	4	3			1										1	2	1	3	1	2	1	5	2	2	1	2	3				1	1											1			1	1			6	6	6	3	3	2	2	Chueca	Pride	Opportunity	4	3	9	8	1	2	2	2	3
1620125634	24	2	10			1						2	1	5											10	1												1												1	3	4									1	1	9	2		2	1	4	1	1	1										5	5	5	4	5	4	4	5	3	2	2	2																							1	5	5	5	5	1	2	2	Mentally	Open		3	4	4	5	1	2	2	3	2
1620126128	24	2	21	1								1	4	5											7		1												1											1	3	3	1				1	1				2	6	2		1	1	3		1	1		1					1			2	4	2	4	3	4	3	5	3	2	2	2																				1	1			4	4	4	3	2	3	2	Chueca	Polleria	Friendly	4	3	8	8	1	2	2	1	3
