"P3a1" "P3a2" "P3a3" "P3a4" "P3a5" "P3a6" "P3a7" "V8" "P22_1" "P22_2" "P22_3"
"446" NA NA 1 NA NA NA NA 2 2 2 2
"447" 1 NA NA NA NA NA NA 1 2 2 2
"448" 1 NA NA NA NA NA NA 1 2 2 2
"449" 1 NA NA NA NA NA NA 1 2 2 2
"450" 1 NA NA NA NA NA NA 1 2 2 2
"451" NA NA 1 NA NA NA NA 1 1 1 1
"452" NA 1 NA NA NA NA NA 2 2 2 2
"453" 1 NA NA NA NA NA NA 1 2 2 2
"454" NA NA 1 NA NA NA NA 2 2 2 2
"455" NA NA 1 NA NA NA NA 1 2 2 2
"456" 1 NA NA NA NA NA NA 1 2 2 2
"457" NA NA 1 NA NA NA NA 2 2 2 2
"458" 1 NA NA NA NA NA NA 1 2 2 2
"459" 1 NA 1 NA NA NA NA 1 2 2 2
"460" 1 NA NA NA NA NA NA 1 2 2 2
"461" 1 NA NA NA NA NA NA 1 2 2 2
"462" NA NA 1 NA NA NA NA 1 2 2 2
"463" NA NA 1 NA NA NA NA 2 2 2 2
"464" 1 NA NA NA NA NA NA 1 2 2 2
"465" 1 NA NA NA NA NA NA 1 2 2 2
"466" 1 NA NA NA NA NA NA 1 2 2 2
"467" 1 NA NA NA NA NA NA 1 2 2 2
"468" NA NA 1 NA NA NA NA 1 2 2 2
"469" NA NA 1 NA NA NA NA 2 2 2 2
"470" NA NA 1 NA NA NA NA 2 2 1 2
"471" NA 1 NA NA NA NA NA 2 2 2 2
"472" NA NA 1 NA NA NA NA 2 2 2 2
"473" NA NA 1 NA NA NA NA 1 2 2 2
"474" NA NA 1 NA NA NA NA 2 2 2 2
"475" 1 NA NA NA NA NA NA 1 2 2 2
"476" 1 NA NA NA NA NA NA 1 2 2 2
"477" NA NA 1 NA NA NA NA 1 2 1 2
"478" 1 NA NA NA NA NA NA 1 2 2 2
"479" NA NA NA 1 NA NA NA 2 2 2 2
"480" NA NA 1 NA NA NA NA 1 2 2 2
"481" 1 NA NA NA NA NA NA 1 2 2 2
"482" NA NA 1 NA NA NA NA 2 2 2 2
"483" NA NA 1 NA NA NA NA 2 1 1 2
"484" NA NA 1 NA NA NA NA 2 2 2 2
"485" NA NA NA NA NA NA 1 2 2 2 2
"486" NA NA 1 NA NA NA NA 1 2 2 2
"487" NA NA 1 NA NA NA NA 2 2 2 2
"488" NA 1 NA NA NA NA NA 2 2 2 2
"489" 1 NA NA NA NA NA NA 1 2 2 2
"490" 1 NA NA NA NA NA NA 1 2 2 2
"491" NA 1 1 NA NA NA NA 2 2 2 2
"492" NA NA 1 NA NA NA NA 1 2 2 2
"493" 1 NA NA NA NA NA NA 1 2 2 2
"494" NA NA 1 NA NA NA NA 2 2 1 2
"495" NA NA 1 NA NA NA NA 2 2 2 2
"496" 1 NA NA NA NA NA NA 1 1 2 1
"497" 1 NA NA NA NA NA NA 1 2 1 2
"498" 1 NA NA NA NA NA NA 1 2 2 2
"499" 1 NA NA NA NA NA NA 1 2 2 2
"500" NA NA 1 NA NA NA NA 2 2 2 2
"501" 1 NA NA NA NA NA NA 1 2 2 2
"502" 1 NA NA NA NA NA NA 1 1 2 2
"503" 1 NA NA NA NA NA NA 1 2 2 2
"504" 1 NA 1 NA NA NA NA 1 2 2 2
"505" 1 NA NA NA NA NA NA 1 2 2 2
"506" 1 NA NA NA NA NA NA 1 2 2 2
"507" 1 NA 1 NA NA NA NA 1 1 2 2
"508" 1 NA NA NA NA NA NA 1 2 2 2
"509" 1 NA NA NA NA NA NA 1 2 2 2
"510" 1 NA NA NA NA NA NA 1 2 2 2
"511" NA NA 1 NA NA NA NA 1 2 2 2
"512" NA NA 1 NA NA NA NA 1 1 2 2
"513" NA 1 NA NA NA NA NA 2 2 2 2
