"P21_1" "P21_2" "P21_3" "P21_4" "P21_5" "P21_6" "P21_7" "P21_8" "P21_9"
"143" 1 3 3 3 2 3 2 2 2
"144" 2 3 5 4 3 4 4 3 2
"145" 2 3 3 3 3 3 3 3 3
"146" 2 3 3 3 3 3 3 3 3
"147" 3 3 4 2 3 4 2 2 2
"148" 2 4 4 4 2 4 4 4 4
"149" 3 3 1 4 2 1 3 2 2
"150" 2 3 2 3 5 5 3 5 5
"151" 2 2 4 4 3 4 4 2 4
"152" 2 4 4 4 4 3 4 3 3
"153" 1 3 2 2 2 1 2 2 1
"154" 5 3 2 3 2 2 1 3 1
"155" 1 3 3 4 3 3 2 3 2
"156" 2 3 4 3 3 4 3 2 3
"157" 4 2 4 3 2 3 2 2 3
"158" 5 5 5 5 5 5 5 5 5
"159" 2 2 4 3 2 3 2 2 3
"160" 2 3 2 3 3 4 4 3 4
"161" 5 3 2 3 2 1 2 2 1
"162" 2 3 2 3 2 4 3 3 2
"163" 3 3 2 4 3 3 3 3 3
"164" 1 2 3 3 2 1 2 1 1
"165" 3 5 3 4 2 4 2 2 1
"166" 2 2 1 2 2 2 2 1 3
"167" 1 2 3 3 2 3 3 3 1
"168" 2 3 2 3 3 3 3 2 2
"169" 2 2 3 3 3 2 1 3 2
"170" 1 1 1 1 1 3 3 3 1
"171" 1 2 2 3 2 2 2 3 2
"172" 4 3 3 4 3 4 3 4 4
"173" 2 2 2 2 2 2 2 2 2
"174" 2 2 5 4 1 3 5 3 4
"175" 2 3 2 3 3 3 3 2 3
"176" 5 3 3 3 3 3 3 3 2
"177" 2 4 3 3 3 4 3 3 3
"178" 2 2 2 3 2 2 2 2 2
"179" 2 3 3 3 2 2 3 2 2
"180" 2 3 1 3 3 3 3 2 2
"181" 1 1 1 4 1 3 3 1 2
"182" 5 3 1 3 2 2 3 5 2
"183" 4 4 3 4 4 4 4 4 4
"184" 2 4 3 4 3 3 3 3 2
"185" 3 4 4 3 4 4 3 4 2
"186" 2 3 3 3 3 3 3 3 3
"187" 4 4 3 4 4 4 4 3 4
"188" 2 3 2 3 3 3 3 2 3
"189" 2 2 4 4 3 3 3 3 2
"190" 1 3 3 1 2 4 4 3 5
"191" 2 3 2 3 2 4 3 2 4
"192" 2 3 1 3 4 3 4 3 4
"193" 2 3 1 3 3 4 4 3 4
"194" 2 5 3 3 4 3 3 5 3
"195" 1 2 4 3 2 2 2 2 1
"196" 4 4 4 4 4 4 4 4 4
"197" 4 3 2 4 4 3 3 5 4
"198" 1 3 2 5 2 1 3 5 1
"199" 3 4 3 4 3 2 3 3 3
"200" 3 5 3 4 4 4 4 3 2
"201" 2 2 3 3 3 2 3 2 1
"202" 2 1 5 2 1 1 2 1 1
"203" 1 4 2 4 3 4 4 3 3
"204" 2 3 3 3 3 3 3 3 2
"205" 5 4 3 4 2 4 3 2 3
"206" 5 3 3 3 3 4 3 3 3
"207" 2 3 3 4 2 2 3 2 2
"208" 1 3 1 2 3 4 3 3 2
"209" 2 3 3 4 3 3 2 2 2
"210" 3 2 1 2 3 4 4 2 4
"211" 4 3 5 5 4 4 4 5 4
"212" 2 4 3 3 3 4 3 2 2
"213" 1 3 3 4 3 3 4 4 1
"214" 2 2 2 2 3 3 3 3 2
"215" 1 3 3 3 2 2 2 3 2
"216" 1 2 2 3 2 5 2 5 2
"217" 3 3 3 3 3 3 3 3 3
"218" 2 3 2 3 1 2 3 2 2
"219" 1 5 2 3 2 2 2 2 3
"220" 3 3 3 3 3 3 3 3 3
"221" 5 4 3 4 3 3 3 2 3
"222" 5 5 3 3 3 3 3 2 3
"223" 1 3 2 2 2 4 3 3 3
"224" 1 2 2 3 2 3 3 2 3
"225" 2 2 3 3 2 2 1 1 3
"226" 4 4 3 4 4 4 4 4 3
"227" 4 2 4 2 2 2 2 4 4
"228" 2 4 4 4 4 3 3 2 2
"229" 3 4 3 3 3 4 4 3 3
"230" 1 3 2 4 3 5 4 5 4
"231" 3 2 2 3 1 4 4 3 2
"232" 1 3 1 2 1 2 2 1 1
"233" 2 3 2 4 2 3 3 3 2
"234" 2 2 5 3 2 1 2 2 2
"235" 1 2 3 3 1 3 2 1 1
"236" 2 3 3 3 3 3 3 3 3
"237" 2 3 2 3 2 3 4 3 2
"238" 2 3 3 3 3 3 3 3 3
"239" 2 2 2 3 1 2 2 2 2
"240" 4 1 1 1 2 1 1 2 3
"241" 2 3 2 4 2 4 3 2 3
"242" 2 3 3 4 3 3 3 4 3
"243" 1 1 4 1 2 1 2 2 1
"244" 1 1 3 4 2 3 2 4 1
"245" 3 4 3 4 3 4 3 3 3
"246" 3 4 4 4 4 3 3 4 3
"247" 2 4 3 4 3 3 4 3 3
"248" 2 3 2 3 2 3 2 2 2
"249" 3 2 5 3 2 3 2 2 2
"250" 3 4 3 4 3 2 3 3 3
"251" 2 3 3 3 1 3 2 2 2
"252" 1 3 2 2 1 1 2 3 1
"253" 1 2 4 4 4 4 4 4 3
"254" 1 5 4 4 1 2 4 2 1
"255" 2 3 2 3 3 4 3 3 3
"256" 4 4 4 4 4 4 4 4 4
"257" 2 3 3 3 3 3 2 2 3
"258" 2 4 3 4 3 4 4 2 3
"259" 1 3 2 2 2 3 2 2 1
"260" 1 2 3 2 2 3 2 3 2
"261" 3 3 2 4 5 2 3 3 2
"262" 2 2 2 3 2 3 3 3 2
"263" 2 2 2 2 2 2 2 2 2
"264" 2 3 2 3 2 5 3 3 5
"265" 1 3 3 3 2 2 1 3 1
"266" 5 4 3 4 4 4 4 4 4
"267" 1 3 3 3 1 3 2 1 2
"268" 3 3 3 3 3 3 3 3 3
"269" 1 3 3 4 2 4 3 3 3
"270" 5 4 3 4 4 4 4 5 5
"271" 1 1 1 1 1 1 1 1 1
"272" 3 3 3 3 3 3 3 3 3
"273" 3 4 3 3 3 4 4 3 3
"274" 3 3 3 4 3 3 3 3 3
"275" 1 1 1 1 1 1 1 1 1
"276" 2 4 4 4 3 4 3 4 4
"277" 3 4 2 4 2 3 3 3 2
"278" 2 3 3 4 3 3 3 3 3
"279" 1 1 1 3 1 2 3 2 1
"280" 3 3 4 3 2 3 3 3 3
"281" 2 2 3 2 3 2 2 3 2
"282" 3 3 2 3 3 3 3 3 4
"283" 5 5 5 4 3 2 3 5 3
"284" 3 5 3 3 5 4 4 3 2
"285" 1 3 2 3 2 4 3 2 2
"286" 2 3 3 4 3 4 4 4 3
"287" 2 2 3 4 3 1 3 3 3
"288" 4 4 4 4 4 4 4 4 4
"289" 3 3 3 3 3 3 3 3 3
"290" 1 2 2 3 1 2 2 1 1
"291" 2 3 3 3 3 4 2 3 3
"292" 2 2 2 1 1 2 1 1 2
"293" 2 3 3 3 3 3 3 2 3
"294" 2 2 2 2 2 3 2 2 2
"295" 2 3 3 3 3 4 4 2 3
"296" 2 3 3 3 5 4 3 3 3
"297" 3 4 3 4 3 4 3 3 3
"298" 1 3 1 3 2 3 2 2 2
"299" 4 4 4 4 2 4 4 4 4
"300" 1 3 3 4 1 2 2 2 2
"301" 3 3 3 3 3 3 3 3 3
"302" 3 2 1 4 1 2 3 1 3
"303" 3 3 3 3 3 3 3 3 3
"304" 2 2 1 2 2 4 2 4 2
"305" 1 3 3 3 1 1 3 1 2
"306" 1 1 2 3 4 4 4 4 4
"307" 1 2 4 4 3 4 3 3 3
"308" 3 5 3 3 2 5 3 2 2
"309" 2 1 3 2 2 2 3 3 3
"310" 2 3 2 3 3 4 4 4 4
"311" 1 2 2 2 2 2 3 3 3
"312" 2 3 3 2 2 3 2 2 2
"313" 2 3 3 3 2 2 3 3 2
"314" 2 4 2 4 2 3 3 4 3
"315" 5 3 3 4 3 3 3 3 3
"316" 1 2 4 4 1 3 2 3 2
"317" 5 5 3 3 3 3 3 3 3
"318" 2 3 1 3 2 2 3 2 1
"319" 2 2 3 3 2 3 2 3 2
"320" 2 3 3 3 2 4 3 3 3
"321" 3 3 3 4 3 3 3 3 3
"322" 5 3 3 3 2 3 3 2 3
"323" 2 2 2 4 2 3 2 3 2
"324" 1 1 3 3 2 4 3 3 3
"325" 1 2 2 1 1 1 1 2 2
"326" 2 2 3 3 2 2 3 1 2
"327" 3 3 3 3 3 3 3 3 3
"328" 2 2 3 4 1 3 3 1 2
"329" 1 3 2 2 2 4 4 3 3
"330" 5 5 3 3 3 3 3 3 3
"331" 2 2 1 1 1 2 2 1 2
"332" 3 3 4 4 3 3 3 3 3
"333" 2 3 3 4 1 3 2 2 2
"334" 1 3 3 3 3 5 5 5 5
"335" 1 5 2 3 2 2 3 1 2
"336" 2 3 3 3 3 3 3 3 3
"337" 5 4 3 4 3 3 3 3 3
"338" 4 3 4 3 3 3 4 2 2
"339" 2 3 4 4 2 3 3 2 3
"340" 1 2 3 3 2 4 3 3 3
"341" 1 2 4 3 3 4 3 4 3
"342" 4 5 3 4 4 4 4 4 4
"343" 3 3 3 3 2 2 3 2 3
"344" 1 3 3 3 3 4 3 4 3
"345" 2 4 2 3 2 4 4 3 3
"346" 5 5 5 5 5 5 5 5 5
"347" 3 3 3 4 3 4 4 3 4
"348" 1 5 3 4 3 3 3 2 2
"349" 2 3 3 3 2 3 2 3 2
"350" 2 5 3 3 3 3 3 3 3
"351" 3 3 2 4 2 3 4 3 2
"352" 1 3 3 3 1 3 3 2 3
"353" 2 2 2 2 2 3 3 3 2
"354" 5 4 3 3 3 3 4 2 3
"355" 1 4 2 3 3 3 3 2 3
"356" 2 3 2 3 3 3 3 3 2
"357" 2 3 2 3 3 4 3 4 3
"358" 1 3 1 3 1 2 2 1 1
"359" 3 4 3 4 2 2 2 3 2
"360" 2 3 5 3 2 1 2 1 3
"361" 2 3 3 3 3 4 3 4 3
"362" 1 3 2 4 4 4 4 4 3
"363" 5 5 5 3 3 4 3 3 3
"364" 3 4 3 3 2 4 4 3 3
"365" 2 3 4 4 3 4 4 4 3
"366" 2 3 3 2 4 3 4 3 3
"367" 2 4 3 3 3 3 3 3 3
"368" 2 2 3 4 2 3 4 1 4
"369" 2 2 4 4 3 3 3 3 3
"370" 3 3 2 2 3 3 4 3 4
"371" 4 4 4 4 4 4 4 4 4
"372" 3 3 3 3 3 3 3 3 3
"373" 2 3 3 4 1 4 3 3 2
"374" 3 5 5 3 2 3 3 3 3
"375" 1 3 2 3 2 2 2 2 1
"376" 2 3 3 4 3 4 3 4 3
"377" 3 3 3 4 3 4 4 3 3
"378" 2 4 2 3 3 4 3 2 3
"379" 3 4 2 4 3 3 4 5 3
"380" 2 4 4 4 4 4 3 4 4
"381" 1 2 1 2 1 3 3 1 4
"382" 2 4 3 3 2 4 3 2 3
"383" 2 3 3 3 3 4 3 4 2
"384" 3 4 4 4 2 4 4 5 3
"385" 3 3 3 3 3 3 2 2 2
"386" 2 5 3 3 4 2 3 5 4
"387" 5 5 5 5 5 5 5 5 5
"388" 2 3 3 4 5 4 4 3 3
"389" 2 4 5 3 4 4 4 4 3
"390" 1 5 3 4 3 4 3 3 3
"391" 1 1 3 3 3 4 4 4 2
"392" 2 3 2 3 4 4 4 4 4
"393" 5 4 3 4 3 4 4 4 4
"394" 2 3 2 3 3 3 3 5 3
"395" 2 3 3 3 2 4 3 2 2
"396" 2 3 2 3 3 2 3 2 1
"397" 2 5 3 3 3 3 3 3 2
"398" 2 3 3 3 3 3 3 3 3
"399" 2 3 2 3 1 2 2 1 1
"400" 4 4 5 4 4 4 4 4 4
"401" 2 3 3 4 2 3 3 2 3
"402" 1 1 1 3 1 2 2 3 2
"403" 3 4 5 4 2 4 4 3 3
"404" 2 4 4 4 3 4 2 3 2
"405" 2 3 2 4 3 4 4 3 3
"406" 3 3 4 2 4 4 3 2 3
"407" 4 4 3 4 4 4 3 4 3
"408" 3 4 4 3 4 4 4 3 4
"409" 2 2 2 2 2 2 2 2 2
"410" 3 3 3 3 3 3 2 3 3
"411" 3 4 3 4 4 4 4 3 4
"412" 2 3 2 3 2 3 3 3 3
"413" 2 5 2 3 2 5 2 5 5
"414" 5 5 5 5 5 5 5 5 5
"415" 1 3 3 4 2 4 4 3 4
"416" 4 2 4 3 3 4 3 3 3
"417" 3 3 1 3 2 3 3 2 3
"418" 1 3 4 3 1 2 2 2 2
"419" 2 2 3 4 2 3 3 3 3
"420" 2 3 3 3 3 3 2 3 2
"421" 4 1 3 2 5 5 5 5 5
"422" 3 3 3 3 3 3 3 3 3
"423" 5 3 2 4 3 3 3 3 3
"424" 2 2 3 3 3 3 2 2 2
"425" 2 2 3 4 2 4 3 3 4
"426" 1 2 3 3 2 2 3 2 2
"427" 1 3 4 3 3 3 5 2 2
"428" 2 3 3 3 1 3 2 2 2
"429" 4 3 3 3 3 4 3 3 3
"430" 5 5 5 5 5 5 5 5 5
"431" 2 3 4 3 2 4 2 3 3
"432" 3 4 4 4 3 4 4 4 3
"433" 3 3 3 3 3 3 3 3 3
"434" 2 2 1 3 3 3 2 4 2
"435" 3 3 3 4 3 3 3 2 3
"436" 3 3 3 3 3 3 3 3 3
"437" 4 5 2 3 5 3 5 5 4
"438" 2 2 1 2 2 2 2 2 1
"439" 2 5 3 4 1 3 3 2 2
"440" 1 1 1 1 1 1 1 1 1
"441" 2 3 3 3 3 3 3 3 2
"442" 4 5 4 4 4 4 4 4 4
"443" 2 3 3 3 2 3 3 3 2
"444" 3 4 3 3 2 3 4 3 4
"445" 2 3 4 4 4 4 4 4 5
"446" 5 4 3 3 3 3 4 4 3
"447" 1 2 3 4 4 3 3 3 3
"448" 2 3 3 4 1 3 3 2 2
"449" 2 3 2 3 2 3 3 3 2
"450" 3 4 4 4 3 4 3 4 3
"451" 3 3 3 2 2 3 3 2 2
"452" 4 4 4 4 4 4 3 4 3
"453" 2 2 2 3 2 3 2 2 2
"454" 5 5 5 5 5 5 5 5 5
"455" 1 3 1 3 2 2 1 3 1
"456" 5 5 3 4 2 5 3 2 3
"457" 5 5 5 3 5 2 5 5 2
"458" 5 5 3 3 3 4 3 3 3
"459" 3 4 3 3 3 3 3 3 3
"460" 2 4 5 3 3 4 4 3 3
"461" 3 2 3 4 2 3 3 3 3
"462" 2 5 3 3 5 3 5 5 2
"463" 3 3 3 3 3 3 3 3 3
"464" 2 3 3 4 4 4 4 4 1
"465" 1 3 2 4 1 3 3 1 2
"466" 1 3 1 2 3 3 2 3 2
"467" 2 5 4 3 3 4 3 4 4
"468" 3 3 4 4 3 4 3 4 4
"469" 3 3 2 2 3 3 3 2 2
"470" 4 3 2 1 3 2 2 4 3
"471" 1 5 3 4 3 4 5 3 3
"472" 5 5 3 4 2 3 4 1 3
"473" 2 3 3 3 2 4 3 1 3
"474" 2 2 3 3 2 3 2 2 2
"475" 2 4 3 4 5 4 4 4 4
"476" 2 2 4 4 4 4 4 4 4
"477" 3 3 2 3 2 3 3 3 3
"478" 2 3 3 4 2 3 4 3 3
"479" 2 2 2 4 1 4 2 4 3
"480" 3 3 4 4 3 3 4 3 3
"481" 3 3 3 3 3 3 3 3 3
"482" 1 3 3 4 1 4 3 2 3
"483" 2 2 2 3 2 2 3 1 2
"484" 2 2 3 2 2 2 2 2 2
"485" 2 3 2 3 3 3 3 2 3
"486" 4 4 4 4 2 4 4 2 4
"487" 2 3 2 3 2 3 2 2 2
"488" 2 2 3 3 2 3 1 2 2
"489" 2 3 3 3 2 2 2 1 3
"490" 2 2 3 3 2 5 3 5 3
"491" 1 3 3 3 1 2 3 1 2
"492" 3 3 3 3 3 4 4 4 4
"493" 2 2 2 2 2 2 2 2 2
"494" 1 1 3 3 2 1 1 1 1
"495" 3 3 3 4 3 4 4 3 4
"496" 1 5 1 4 2 1 1 2 1
"497" 1 2 2 3 2 2 3 2 2
"498" 2 2 4 3 2 4 3 3 2
"499" 5 5 2 4 4 2 4 2 4
"500" 3 3 3 2 3 3 3 3 3
"501" 2 3 1 3 3 3 3 3 3
"502" 2 3 2 4 2 3 3 3 3
"503" 5 5 4 4 4 4 4 4 4
"504" 5 4 4 4 4 4 4 4 4
"505" 2 3 4 4 4 4 4 4 3
"506" 5 5 5 3 3 3 3 5 3
"507" 2 3 3 4 1 3 4 2 3
"508" 5 5 4 4 4 4 4 5 4
"509" 1 3 3 3 1 3 3 1 3
"510" 3 5 5 3 2 5 3 5 2
"511" 4 4 3 4 4 4 4 3 4
"512" 1 2 2 2 3 3 2 3 2
"513" 1 3 2 3 3 1 3 4 2
"514" 1 2 4 4 1 3 2 1 1
"515" 2 3 2 3 2 3 3 2 2
"516" 2 3 2 3 2 4 3 3 4
"517" 1 1 3 3 1 1 2 1 2
"518" 2 3 3 3 2 4 3 4 2
"519" 3 3 3 3 3 4 3 3 4
"520" 1 2 2 3 2 3 2 1 4
"521" 3 3 5 4 3 2 4 3 3
"522" 2 3 3 3 3 3 3 2 3
"523" 2 5 2 4 5 3 5 4 4
"524" 5 5 5 5 5 5 5 5 5
"525" 2 3 2 3 3 3 2 2 2
"526" 5 5 3 3 2 4 1 2 2
"527" 1 4 2 3 3 4 3 4 4
"528" 1 2 3 3 2 4 2 1 4
"529" 2 3 3 4 3 3 2 2 2
"530" 2 2 2 2 2 2 2 2 2
"531" 5 5 2 4 5 4 3 4 4
"532" 3 3 2 4 3 3 3 3 3
"533" 2 3 4 3 2 3 3 1 3
"534" 2 3 2 3 2 3 2 2 2
"535" 4 4 4 4 5 4 4 4 4
"536" 2 3 2 4 2 3 3 3 2
"537" 2 3 2 3 4 4 4 3 4
"538" 5 5 4 4 3 4 3 3 3
"539" 2 3 3 3 3 4 3 3 3
"540" 5 4 5 5 4 4 4 4 4
"541" 3 2 2 3 2 2 3 2 2
"542" 2 3 4 4 3 3 2 3 3
"543" 2 3 3 4 3 4 3 3 3
"544" 2 2 4 3 2 3 2 3 2
"545" 2 3 2 3 2 4 2 2 3
"546" 3 3 3 3 3 4 3 3 3
"547" 2 4 2 4 4 4 3 3 4
"548" 4 4 4 4 4 4 4 4 4
"549" 2 2 2 2 2 2 2 2 2
"550" 1 1 2 1 1 3 1 1 1
"551" 2 4 3 4 2 4 4 3 4
"552" 5 5 5 4 3 3 3 3 3
"553" 5 3 3 3 2 3 3 3 2
"554" 2 3 3 3 5 3 3 4 3
"555" 2 3 2 4 2 4 3 3 3
"556" 2 2 3 4 2 3 2 2 2
"557" 2 3 2 3 2 4 4 2 4
"558" 5 5 5 5 5 5 5 5 5
"559" 2 5 2 2 2 2 2 5 5
"560" 3 3 3 4 3 4 4 4 3
"561" 1 1 2 1 2 4 2 3 3
"562" 2 1 3 2 3 4 2 5 3
"563" 3 3 3 3 4 4 4 4 4
"564" 1 3 3 4 2 4 4 4 4
"565" 3 4 4 4 4 4 4 3 4
"566" 1 1 4 3 1 1 1 1 1
"567" 2 2 2 2 2 2 2 2 2
"568" 2 2 4 2 2 2 1 1 1
"569" 2 4 3 3 5 5 5 1 5
"570" 2 3 2 2 1 3 3 5 2
"571" 5 5 5 5 5 5 5 5 5
"572" 3 5 3 3 3 3 3 3 3
"573" 3 4 2 4 2 4 3 3 4
"574" 4 4 4 4 4 4 4 4 4
"575" 2 3 3 3 2 3 2 2 3
"576" 3 3 2 3 3 4 4 2 4
"577" 4 4 4 4 4 4 4 4 4
"578" 2 3 2 3 2 3 3 3 3
"579" 2 3 3 3 2 4 2 2 2
"580" 1 3 2 3 1 2 3 1 2
"581" 3 5 3 3 4 4 4 5 3
"582" 2 3 3 3 2 3 4 4 2
"583" 1 3 1 3 2 4 4 3 3
"584" 2 3 4 4 3 4 3 3 3
"585" 3 3 2 3 3 3 3 2 3
"586" 3 4 4 4 3 4 3 4 3
"587" 2 2 2 2 2 2 2 2 3
"588" 2 4 3 4 3 4 4 5 4
"589" 2 4 3 3 3 4 4 3 4
"590" 4 5 4 4 4 4 4 4 4
"591" 3 3 4 3 3 3 4 3 3
"592" 2 3 3 3 2 3 4 3 3
"593" 4 3 3 1 5 4 3 2 2
"594" 3 3 4 4 3 4 4 4 4
"595" 2 3 2 3 3 4 4 3 4
"596" 5 5 5 5 5 5 5 5 3
"597" 3 4 3 3 3 3 3 2 3
"598" 3 3 3 3 3 3 3 3 3
"599" 4 4 4 4 4 4 4 4 4
"600" 5 5 1 3 3 4 4 3 4
